ERYTHROMYCIN CAPSULES 250MG K,medicine_showdetail.php?sn=A000106100
NAKASSER TABLET 30MG N.K.DILTIAZEM HCL,medicine_showdetail.php?sn=A030629100
MECOZOL TABLET 200M,medicine_showdetail.php?sn=A030633100
YUNGKEN FILM COATED,medicine_showdetail.php?sn=A030641100
DEFENSE FILM COATED,medicine_showdetail.php?sn=A030642100
MUCORA TABLETS 60MG,medicine_showdetail.php?sn=A030643100
KETOFEN TAB. KETOTIFENE 'H.C.',medicine_showdetail.php?sn=A030693100
LYSIX TABLETS 40MG FUROSEMIDE T.F.,medicine_showdetail.php?sn=A030697100
GLICRON TABLETS 80MG GLICLAZIDE 'YU SHENG',medicine_showdetail.php?sn=A030698100
RITALIN TABLETS 10M,medicine_showdetail.php?sn=A030740100
WEITUL F.C. TABLETS,medicine_showdetail.php?sn=A030741100
APRESOLINE R S.C. TABLETS 25MG HYDRALAZINE,medicine_showdetail.php?sn=A030742100
RASITOL TABLETS 40MG FUROSEMIDE,medicine_showdetail.php?sn=A030749100
NAPATON 500MG ACETAMINOPHEN'N.W.',medicine_showdetail.php?sn=A030759100
KANYENING CAPSULES 300MG FENBUFEN 'H.S.',medicine_showdetail.php?sn=A030767100
COTRIZINE TABLETS 2,medicine_showdetail.php?sn=A030774100
SPIROPENT TABLETS 20MCG CLENBUTEROL HYDROCHLORIDE,medicine_showdetail.php?sn=A030778100
DITROPAN TABLETS 2.,medicine_showdetail.php?sn=A030803100
PERDIPINE S.C. TABLETS 20MG NICARDIPINE,medicine_showdetail.php?sn=A030804100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A030811100
CEPHALEXIN CAPSULES,medicine_showdetail.php?sn=A030816100
FLUTAFIN CAPSULE 20,medicine_showdetail.php?sn=A030873100
APRESOLIN S.C. TABLETS 10MG SWPH. HYDRALAZINE,medicine_showdetail.php?sn=A030879100
ZADITEN TABLETS 1MG KETOTIFEN,medicine_showdetail.php?sn=A030881100
PARLODEL TABLETS 2.5MG BROMOCRIPTINE,medicine_showdetail.php?sn=A030882100
BRINERDIN S.C. TABLETS,medicine_showdetail.php?sn=A030883100
MELLERIL S.C. TABLETS 25MG THIORIDAZINE HYDROCHLORIDE,medicine_showdetail.php?sn=A030885100
KOBAL CAPSULES 0.5MG MECOBALAMIN 'WEIDAR',medicine_showdetail.php?sn=A030889100
U-RITIS TABLETS 250MG NAPROXEN,medicine_showdetail.php?sn=A030891100
TOFRANIL S.C. TABLETS 25MG IMIPRAMINE HYDROCHLORIDE 'SWPH',medicine_showdetail.php?sn=A030894100
ACTIN TABLETS,medicine_showdetail.php?sn=A030895100
TANLIN TABLETS 375M,medicine_showdetail.php?sn=A030898100
DIFENA ENTERIC F.C.TAB. 50MG DICLOFENAC 'STANDARD',medicine_showdetail.php?sn=A030917100
FOSELIN TABLETS 10M,medicine_showdetail.php?sn=A030936100
YUNGFU CAPSULES 30MG TIMEPIDIUM BROMIDE,medicine_showdetail.php?sn=A030940100
HYDERGINE TABLETS 1.5MG DIHYDROERGOTOXINE MESYLATE,medicine_showdetail.php?sn=A030945100
EPILEPTIN PHENYTOIN CAPSULES 100MG 'VPP',medicine_showdetail.php?sn=A030963100
SHOREN ENTERIC FILM COATED TABLETS 50MG DICLOGENAC'T.F.',medicine_showdetail.php?sn=A030967100
MEZIDE TABLETS 80MG GLICLAZIDE 'M.S.',medicine_showdetail.php?sn=A030970100
SPASMOPRIV CAPSULE 100mg FENOVERINE,medicine_showdetail.php?sn=A030972100
MACGEL TABLETS YUN,medicine_showdetail.php?sn=A030974100
DOMETON TABLET 100MG SULINDAC 'N.K.',medicine_showdetail.php?sn=A030975100
REBAMOL TABLETS 500MG METHOCARBAMOL ' WINSTON ',medicine_showdetail.php?sn=A030987100
PETHO S.C. TABLETS 10MG PIPETHANATE ETHOBROMIDE'STANDARE',medicine_showdetail.php?sn=A030999100
DESPUTUM TABLETS 60,medicine_showdetail.php?sn=A031010100
UNIDAC TABLETS 200MG SULINDAC'UNION',medicine_showdetail.php?sn=A031020100
HEADGEN TABLETS DIHYDROERGOTOXINE MESYLATE,medicine_showdetail.php?sn=A031053100
FLUFEN S.C. TABLETS 50MG FLURBIPROFEN 'WEIDAR',medicine_showdetail.php?sn=A031058100
ATELON TABLETS 100MG ATENOLOL H.S.,medicine_showdetail.php?sn=A031069100
SINUDIN TABLETS,medicine_showdetail.php?sn=A031088100
KIDOLEX CAPSULES 50,medicine_showdetail.php?sn=A031095100
SENTA ENTERIC COATE,medicine_showdetail.php?sn=A031107100
RIKAPARIN CAPSULES 500MG TRANEXAMIC ACID 'TAIWAN TUNG YANG',medicine_showdetail.php?sn=A031110100
HARNIC TABLET 60MG TERFENADINE 'WINSTON',medicine_showdetail.php?sn=A031121100
BEFAT F.C. TAB. 200,medicine_showdetail.php?sn=A031138100
NOSCAPINE TABLETS,medicine_showdetail.php?sn=A031153100
ISORMOL TABLET 20MG ISOSORBIDE TAIWAN TUNG YANG,medicine_showdetail.php?sn=A031168100
CLINDAMYCIN CAPSULE,medicine_showdetail.php?sn=A031171100
CLOMINE TABLETS 10MG HOMOCHLORCYCILIZINE 'PFOSHEN',medicine_showdetail.php?sn=A031172100
SUMIN TABLETS 2MG DEXCHLORPHENIRAMINE 'CHINTENG',medicine_showdetail.php?sn=A031187100
TRIMCORT TABLETS 10,medicine_showdetail.php?sn=A031189100
LICHEIN CAPSULES 0.5MG MECOBALAMIN 'CHINTENG',medicine_showdetail.php?sn=A031190100
RANIDINE F.C.TAB. RANITIDINE S.T.,medicine_showdetail.php?sn=A031194100
LENDORMIN TABLETS 2,medicine_showdetail.php?sn=A031205100
BISTOR CAPSULE DOX,medicine_showdetail.php?sn=A031219100
ATENO F.C. TABLETS 100MG ATENOLOL CHINTENG,medicine_showdetail.php?sn=A031223100
ACERINE S.C. TABLETS 5MG NICERGOLINE 'WEIDAR',medicine_showdetail.php?sn=A031225100
OSIN S.C. TABLETS 50MG DIPYRIDAMOLE KOJAR,medicine_showdetail.php?sn=A031228100
HODRIN TABLETS 1.5MG DIHYDROERGOTOXINE MESYLATE 'WEIDAR',medicine_showdetail.php?sn=A031260100
SANICON CAPSULES L,medicine_showdetail.php?sn=A031275100
TECYTEINE CAPSULES,medicine_showdetail.php?sn=A031276100
PROZAC 20 PULVULES FLUOXETINE,medicine_showdetail.php?sn=A031279100
MARION TABLETS 5MG NICERGOLIN 'LITA',medicine_showdetail.php?sn=A031283100
KONATON TABLETS 500MG ACETAMINOPHEN 'KOJAR',medicine_showdetail.php?sn=A031291100
SANWELL F.C. TABLET,medicine_showdetail.php?sn=A031292100
SEANTO CAPSULES 10MG OXAZOLAM 'KOJAR',medicine_showdetail.php?sn=A031295100
FORMAX ENTERIC-MICRO-ENCAPSULED CAPSULE 50MG 'SHITEN' DICLOFENAC,medicine_showdetail.php?sn=A031300100
IMIN TABLETS METHI,medicine_showdetail.php?sn=A031309100
ULSTAL TABLETS SIN,medicine_showdetail.php?sn=A031348100
TIDO TABLETS CHINT,medicine_showdetail.php?sn=A031359100
P.N.T. CAPSULE 'C.H.',medicine_showdetail.php?sn=A031361100
DANZEN TABLETS 10MG,medicine_showdetail.php?sn=A031367100
GASTER S.C. TABLETS,medicine_showdetail.php?sn=A031369100
BENZHEXOL TABLETS 5MG TRIHEXYPHENIDYL HCL 'JOHNSON',medicine_showdetail.php?sn=A031451100
MELLERIL S.C.T. 50MGTHIORIDAZINE HYDROCHLORIDE,medicine_showdetail.php?sn=A031475100
ETUMINE TABLETS 40MG CLOTIAPINE,medicine_showdetail.php?sn=A031476100
ANKUMIN TABLETS 6MG,medicine_showdetail.php?sn=A031489100
WEIDECONE TABLETS,medicine_showdetail.php?sn=A031491100
CHIPHONE TABLETS 100MG BENZBROMARONE 'R.T.',medicine_showdetail.php?sn=A031493100
CENCA TABLETS 950MG CALCIUM CITRATE 'U-LIANG',medicine_showdetail.php?sn=A031495100
COLFERIN CAPSULES 'CHINTENG',medicine_showdetail.php?sn=A031501100
DUORIDONE TABLETS 1,medicine_showdetail.php?sn=A031507100
ASMAC TABLETS 2.5MG FENOTEROL HBR 'YUNG CHI',medicine_showdetail.php?sn=A031514100
ELININ TABLETS 20MG OXAZOLAM 'R.T.',medicine_showdetail.php?sn=A031515100
PICOLIN F.C. TABLET,medicine_showdetail.php?sn=A031536100
MEWELLIN F.C. TABLE,medicine_showdetail.php?sn=A031592100
FURNAZM TABLETS 5MG,medicine_showdetail.php?sn=A031593100
LICODIN F.C. TABLET 100MG TICLOPINE 'TAIWAN TUNG YANG',medicine_showdetail.php?sn=A031596100
WEISU TABLETS 400MG,medicine_showdetail.php?sn=A031656100
FORKNOW TABLETS 10M,medicine_showdetail.php?sn=A031658100
BUTIN TABLETS 2.5MG BROMOCRIPTINE,medicine_showdetail.php?sn=A031659100
ANTISSVES CAPSULES,medicine_showdetail.php?sn=A031660100
AXOL TABLETS 30MG,medicine_showdetail.php?sn=A031662100
IOPIDOL TABLETS 60M,medicine_showdetail.php?sn=A031665100
CATIN TABLETS 100MG,medicine_showdetail.php?sn=A031666100
NIFU CAPSULES 250MG NIFLUMIC ACID 'KOJAR',medicine_showdetail.php?sn=A031667100
SOURIREE COM-TRIMETON TABLETS 4MG,medicine_showdetail.php?sn=A031673100
SOURIREE COMPESOLON TABLETS 5MG PREDNISOLONE,medicine_showdetail.php?sn=A031676100
FETISMA TABLETS 2.5MG FENOTEROL 'KOJAR',medicine_showdetail.php?sn=A031690100
STOIN TABLETS 10MG,medicine_showdetail.php?sn=A031694100
AMINOCIN CAPSULES,medicine_showdetail.php?sn=A031743100
LIDONIN TABLETS 10M,medicine_showdetail.php?sn=A031770100
DITOPAX TABLETS,medicine_showdetail.php?sn=A031771100
PROXEN TABLETS 375MG NAPROXEN 'TAIWAN TANABE',medicine_showdetail.php?sn=A031778100
OXOLA TABLETS 100MG,medicine_showdetail.php?sn=A031796100
GASCON TABLET 40MG,medicine_showdetail.php?sn=A031799100
TOPAAL CHEWABLE TAB,medicine_showdetail.php?sn=A031800100
KETOSMA CAPSULES 1MG KETOTIFEN 'KOJAR',medicine_showdetail.php?sn=A031801100
BENZSIN TABLETS 50MG BENZBROMARONE 'KOJAR',medicine_showdetail.php?sn=A031823100
CIMEWELL F.C. TABLE,medicine_showdetail.php?sn=A031824100
BECASONE TABLETS 0.6MG BETAMETHASONE 'KOJAR',medicine_showdetail.php?sn=A031825100
CALTRATE CHEWABLE TABLETS,medicine_showdetail.php?sn=A031828100
ULECIN CAPSULES 150,medicine_showdetail.php?sn=A031831100
PORO TABLETS 80MG ACETAMINOPHEN,medicine_showdetail.php?sn=A031837100
FERDIN TABLETS 60MG TERFENADINE 'WEIDAR',medicine_showdetail.php?sn=A031839100
RIOPAN TABLETS 400M,medicine_showdetail.php?sn=A031844100
GENXATE TABLETS GL,medicine_showdetail.php?sn=A031853100
ZANTAC TABLETS 150M,medicine_showdetail.php?sn=A031892100
MUSCO TABLETS 30MG,medicine_showdetail.php?sn=A031896100
MUSCO TABLETS 30MG,medicine_showdetail.php?sn=A031896100
AMBROXOL TABLETS 30,medicine_showdetail.php?sn=A031912100
DIOMIN TABLETS 'KOJAR' GLIBENCLAMIDE,medicine_showdetail.php?sn=A031951100
FUNASIN CAPSULES 5M,medicine_showdetail.php?sn=A031952100
FENCAINE TABLETS 10,medicine_showdetail.php?sn=A031990100
UTELAX TABLETS 10MG RITODRINE HYDROCHLORIDE 'WEIDAR',medicine_showdetail.php?sn=A031991100
BESUTIN TABLETS 6MG,medicine_showdetail.php?sn=A031993100
MUCOBRON TABLETS 30,medicine_showdetail.php?sn=A031999100
COSIN TABLETS 20MG,medicine_showdetail.php?sn=A032001100
MEDLIN S.C.TABLETS 50MG 'KOJAR' MEBHYDROLIN,medicine_showdetail.php?sn=A032002100
NAPOSIN TABLETS 250MG 'KOJAR' NAPROXEN,medicine_showdetail.php?sn=A032003100
ETOSCOL TABLETS 0.5MG HEXOPRENALINE,medicine_showdetail.php?sn=A032007100
EUZIP TABLETS 50MG NICAMETATE,medicine_showdetail.php?sn=A032014100
TRIALAM TALBETS 0.25MG TRIAZOLAM 'WEIDER',medicine_showdetail.php?sn=A032042100
SERRALO E.F.C.TABLE,medicine_showdetail.php?sn=A032056100
CLINCIN CAP. 150MG,medicine_showdetail.php?sn=A032065100
VENTOLIN TABLETS 2MG SALBUTAMOL SULPHATE,medicine_showdetail.php?sn=A032067100
TRANDATE TABLETS 200MG LABETALOL HYDROCHLORIDE,medicine_showdetail.php?sn=A032068100
ACTIRIN TABLETS SI,medicine_showdetail.php?sn=A032111100
TOSUMIN TABLETS WE,medicine_showdetail.php?sn=A032113100
SERENIN S.C. TABLETS 10MG OXAZOLAM 'PFOSHEN',medicine_showdetail.php?sn=A032116100
C.A.P. CAPSULES 'KINGDOM',medicine_showdetail.php?sn=A032124100
TIDACT CAPSULES 150,medicine_showdetail.php?sn=A032137100
FLUNEPAN TABLE 2MG FLUNITRAZEPAM 'PANBIOTIN',medicine_showdetail.php?sn=A032265100
OCAINE TAB,medicine_showdetail.php?sn=A032270100
CEPORIN TABLETS 25MG CAPTOPRIL S.T.,medicine_showdetail.php?sn=A032275100
PEESU TABLETS KOJA,medicine_showdetail.php?sn=A032277100
CLOZENE CAPSULES 7.5MG CLORAZEPATE 'WEIDAR',medicine_showdetail.php?sn=A032278100
ANTIASTH SLOW RELEA,medicine_showdetail.php?sn=A032286100
PANCOBAMIN CAPSULE 500MCG MECOBALAMIN 'PANBIOTIC',medicine_showdetail.php?sn=A032292100
CEFADIN CAP 500MG,medicine_showdetail.php?sn=A032295100
SOCAINE TABLET,medicine_showdetail.php?sn=A032309100
MAGACID TABLET 200M,medicine_showdetail.php?sn=A032310100
PURFEN F.C. TABLET 400MG IBUPROFEN 'PURZER',medicine_showdetail.php?sn=A032312100
REFEXIN CAPSULE 500,medicine_showdetail.php?sn=A032313100
DUOCER F.C TABLET 2,medicine_showdetail.php?sn=A032315100
ACETAL TABLET 500MG ACETAMINOPHEN 'PURZER',medicine_showdetail.php?sn=A032320100
TENOLOL F.C TABLET 100MG ATENOLOL PURZER,medicine_showdetail.php?sn=A032322100
RECEF CAPSULE 500MG,medicine_showdetail.php?sn=A032324100
LONINE CAPSULES 200MG ETODOLAC,medicine_showdetail.php?sn=A032327100
COLDOL CAPSULE,medicine_showdetail.php?sn=A032333100
NICAN F.C. TABLETS 50MG NICAMETATE CHIN TENG,medicine_showdetail.php?sn=A032353100
TERFENADINE TABLETS 60MG 'CHIN TENG',medicine_showdetail.php?sn=A032355100
DOMPER TABLETS 10MG,medicine_showdetail.php?sn=A032358100
UROL TABLETS 200MG,medicine_showdetail.php?sn=A032361100
CONSLIFE SUGAR COAT,medicine_showdetail.php?sn=A032372100
MEFEN F.C TABLETS 500MG MEFENAMIC ACID 'CHINTENG',medicine_showdetail.php?sn=A032413100
TOMIN TABLETS 2MG DEXCHLORPHENIRAMINE 'KOJAR',medicine_showdetail.php?sn=A032492100
FLUBEN S.C. TABLETS 40MG FLURBIPROFEN 'PFOSHEN',medicine_showdetail.php?sn=A032494100
SINWELL TABLETS KO,medicine_showdetail.php?sn=A032499100
DEBRONC TABLETS 50M,medicine_showdetail.php?sn=A032500100
PIPETO F.C. TAB. 10MG PIPERILATE ETHOBROMIDE 'STANDARD',medicine_showdetail.php?sn=A032506100
FANTA TABLETS 400MG,medicine_showdetail.php?sn=A032516100
MOKOTAM TABLETS 30M,medicine_showdetail.php?sn=A032524100
NUNMINE TABLETS 60MG TERFENADINE 'YUNG SHIN',medicine_showdetail.php?sn=A032526100
NUNMINE TABLETS 60MG TERFENADINE 'YUNG SHIN',medicine_showdetail.php?sn=A032526100
TRIMERIN TABLETS,medicine_showdetail.php?sn=A032535100
URAGEM CAPSULES 300,medicine_showdetail.php?sn=A032563100
ANTICOLD CAPSULES 'KOJAR',medicine_showdetail.php?sn=A032583100
BININ-U TABLETS 5MG HALOPERIDO,medicine_showdetail.php?sn=A032584100
NIDOLIUM TABLET 10M,medicine_showdetail.php?sn=A032619100
CIMETIDINE TABLETS,medicine_showdetail.php?sn=A032631100
SPINAX TABLETS 10.0MG BACLOFEN 'WEIDAR',medicine_showdetail.php?sn=A032632100
VESYCA FILM COATED,medicine_showdetail.php?sn=A032648100
TENADINE TABLETS 60MG TERFENADINE 'Y.S.',medicine_showdetail.php?sn=A032652100
TERFEMINE TABLETS 60MG TERFENADINE 'H.H.',medicine_showdetail.php?sn=A032653100
BIPERIDEN TABLET 2MG 'K.Y.',medicine_showdetail.php?sn=A032702100
DOMPERAN TABLETS 10,medicine_showdetail.php?sn=A032716100
PAPIROR E.C. TABLETS 100MG PENTOXYFYLLINE 'KYORIN',medicine_showdetail.php?sn=A032723100
SIMEGEL CHEWABLE TA,medicine_showdetail.php?sn=A032786100
ALAT CAPSULES 10MG NIFEDIPINE,medicine_showdetail.php?sn=A032801100
NASCO TABLETS 'H.S.',medicine_showdetail.php?sn=A032816100
GEMD CAPSULES 300MG,medicine_showdetail.php?sn=A032833100
MOLIN TABLETS 10MG,medicine_showdetail.php?sn=A032834100
MEZAIN TABLET 5MG,medicine_showdetail.php?sn=A032849100
HERBESSER TABLETS 60MG DILTIAZEM HYDROCHLORIDE,medicine_showdetail.php?sn=A032876100
VOLEN E.C. TABLET 50MG DICLOFENAC 'WINSTON',medicine_showdetail.php?sn=A032877100
AMBROXOL TABLETS 30,medicine_showdetail.php?sn=A032880100
AMOXICILLIN CAPSULE,medicine_showdetail.php?sn=A032891100
SILENAL TABLETS 20MG OXAZOLAM 'AND',medicine_showdetail.php?sn=A032924100
DICLOFENAC E.C. TABLETS 50MG 'CHINTENG',medicine_showdetail.php?sn=A032926100
NOSCAPINE TABLETS 2,medicine_showdetail.php?sn=A032927100
ASIR TABLETS 20MG,medicine_showdetail.php?sn=A032933100
CEPHRADINE CAPSULES,medicine_showdetail.php?sn=A032936100
SINFLEX CAPSULE 500,medicine_showdetail.php?sn=A032939100
SINFLEX CAPSULE 250,medicine_showdetail.php?sn=A032940100
TUENSILIN TABLETS 2.5MG FENOTEROL'ROOT',medicine_showdetail.php?sn=A032945100
MINCON CAPSULES RO,medicine_showdetail.php?sn=A032946100
KOBEN CAPSULES 'ROOT',medicine_showdetail.php?sn=A032948100
SUCROXINE TABLETS,medicine_showdetail.php?sn=A032949100
POUWEPIN TABLETS 20,medicine_showdetail.php?sn=A032950100
COYENPIN TABLETS 25MG DICLOFENAC'ROOT',medicine_showdetail.php?sn=A032951100
PANMITIN TABLETS 10,medicine_showdetail.php?sn=A032952100
SULOWEILIN TABLETS,medicine_showdetail.php?sn=A033023100
TRICOLINE TABLETS 3MGTRIMETOQUINO'S.D.',medicine_showdetail.php?sn=A033027100
ATENOLOL F.C. TABLETS 100MG ATENOLOL STANDARD,medicine_showdetail.php?sn=A033029100
NAPTON S.R. TABLETS 750MG NAPROXEN 'B&F',medicine_showdetail.php?sn=A033048100
TALIPIN TABLET 30MG,medicine_showdetail.php?sn=A033049100
ANCOUGH TABLETS 100,medicine_showdetail.php?sn=A033052100
BELOTON TABLETS 60MG TERFENADINE,medicine_showdetail.php?sn=A033056100
IBUPROFEN F.C. TABLETS 400MG 'KOJAR',medicine_showdetail.php?sn=A033064100
PROTANON TABLETS 5MG ALLYLESTRENOL 'Y.S.',medicine_showdetail.php?sn=A033080100
KEFEN TABLETS 1MG KETOTIFEN 'H.S',medicine_showdetail.php?sn=A033081100
ULCEGBAN TABLETS 50,medicine_showdetail.php?sn=A033082100
BIO-CAL CHEWABLE TABLETS,medicine_showdetail.php?sn=A033090100
LICODIN F.C.Tablet 250MG 'TAIWAN TUNG YANG' TICLOPIDINE,medicine_showdetail.php?sn=A033091100
TEXO TABLET 30MG A,medicine_showdetail.php?sn=A033108100
T.F TABLET 60MG TERFENADINE'C.H',medicine_showdetail.php?sn=A033109100
DICLOFEN ENTERIC FILM COATING TABLETS 50MG  DICOLFENAC 'KOJAR',medicine_showdetail.php?sn=A033122100
ANLIPIN F.C. TABLETS 100MG ATENOLOL KOJAR,medicine_showdetail.php?sn=A033124100
FUCOTIN F.C. TABLET,medicine_showdetail.php?sn=A033125100
ANWELL TABLETS 500M,medicine_showdetail.php?sn=A033127100
MEFEGEN F.C. TABLETS 500MG MEFENAMIC ACID 'KOJAR',medicine_showdetail.php?sn=A033128100
WEISUFU TABLETS CH,medicine_showdetail.php?sn=A033157100
CO-TRIZOL TABLETS,medicine_showdetail.php?sn=A033163100
BROMPHENIRAMINE MALEATE TABLETS 'Y.C.',medicine_showdetail.php?sn=A033166100
VITAMIN B COMPLEX TABLETS 'Y.C.',medicine_showdetail.php?sn=A033182100
SONZIN TABLETS 250MG CHLORZOXAZONE'Y.C.',medicine_showdetail.php?sn=A033190100
OROLISIN S.C. TABLETS 'Y.C.',medicine_showdetail.php?sn=A033194100
NALIDIXIC ACID TABL,medicine_showdetail.php?sn=A033197100
AMBROXOL TABLETS 30,medicine_showdetail.php?sn=A033204100
PIANT TABLETS 500MGACETAMINOPHEN'ROOT',medicine_showdetail.php?sn=A033207100
DECOMINE TABLETS 60MG TERFENADINE'R.T.',medicine_showdetail.php?sn=A033213100
DILTISSER TABLETS 30MG DILTIAZEM HYDROCHLORIDE C.C.C.P.,medicine_showdetail.php?sn=A033224100
CEFSPAN CAPSULE 100,medicine_showdetail.php?sn=A033225100
COMFORT TABLETS 500MG ASPIRIN'MEIDER',medicine_showdetail.php?sn=A033292100
CLINDAMYCIN CAPSULE,medicine_showdetail.php?sn=A033382100
SURIN TABLETS 200MG SULPIRIDE 'YU SHENG',medicine_showdetail.php?sn=A033387100
EUGEN TABLETS 'YU SHENG',medicine_showdetail.php?sn=A033388100
SOMILIN TABLETS 0.25MG TRIAZOLAM'KOJAR',medicine_showdetail.php?sn=A033390100
ANCOU TABLETS 15MG,medicine_showdetail.php?sn=A033391100
SILYCON CAPSULES 15,medicine_showdetail.php?sn=A033392100
ANCOU TABLETS 30MG,medicine_showdetail.php?sn=A033411100
TELFEN TABLETS 60MG TERFENADINE 'SINPHAR',medicine_showdetail.php?sn=A033414100
AMBROXOL TABLETS 30,medicine_showdetail.php?sn=A033415100
SINSULIN CAPSULES 10MG OXAZOLAM 'SINTON',medicine_showdetail.php?sn=A033433100
CIMETIDINE TABLETS,medicine_showdetail.php?sn=A033435100
MECOMIN CAPSULES 0.5MG MECOBALAMIN'Y.C.',medicine_showdetail.php?sn=A033453100
CLINDAMYCIN CAPSULE,medicine_showdetail.php?sn=A033457100
SILIMIN CAPSULES 15,medicine_showdetail.php?sn=A033468100
BORYMYCIN CAPSULES,medicine_showdetail.php?sn=A033471100
GEMNPID CAPSULE 300,medicine_showdetail.php?sn=A033476100
PUMIRO TABLETS 60MG TERFENADINE'KOJAR',medicine_showdetail.php?sn=A033484100
COFEDENIN TABELTS 2,medicine_showdetail.php?sn=A033489100
COLD CAPSULES 'SINPHAR',medicine_showdetail.php?sn=A033497100
RONGIFENE TABLETS 5,medicine_showdetail.php?sn=A033502100
IBUPROFEN TABLETS 400MG 'SINPHAR',medicine_showdetail.php?sn=A033504100
OXELADINE TABLETS 2,medicine_showdetail.php?sn=A033506100
PYRITON CAPSULES 'SINPHAR',medicine_showdetail.php?sn=A033522100
LYSOZYME TABLETS 90,medicine_showdetail.php?sn=A033531100
ANPIRIN TABLETS SI,medicine_showdetail.php?sn=A033532100
RECEF CAPSULE 250MG,medicine_showdetail.php?sn=A033540100
MEPHAN TABLET 30MG,medicine_showdetail.php?sn=A033544100
CLOFEN E.C TABLET 50MG DICLOFENAC'PURZER',medicine_showdetail.php?sn=A033545100
CLOFEN E.C TABLET 25MG DICLOFENAC'PURZER',medicine_showdetail.php?sn=A033546100
INDOMETHACIN CAPSULES 25MG 'SINPHAR',medicine_showdetail.php?sn=A033554100
METRONIDAZOLE TABLE,medicine_showdetail.php?sn=A033557100
CALCIUM CARBONATE TABLETS 500MG 'CHIN TENG',medicine_showdetail.php?sn=A033579100
THIAMPHENICOL CAPSU,medicine_showdetail.php?sn=A033591100
MESYREL TABLETS 50MG TRAZODONE HYDROCHLORIDE'M.S.',medicine_showdetail.php?sn=A033664100
DECLOT F.C. TABLETS 100MG TICLOPIDINE'WEIDAR',medicine_showdetail.php?sn=A033675100
MULAX TABLETS 10MG BACLOFEN 'TAIWAN TUNG YANG',medicine_showdetail.php?sn=A033676100
CALCIUM CARBONATE TOBLETS 500MG 'Y.S',medicine_showdetail.php?sn=A033686100
VOREN ENTERIC-MICROENCAPSULATED CAPSULES 50MG DICLOFENAC,medicine_showdetail.php?sn=A033699100
MEFENA CAPSULES 250MG MEFENAMIC ACID 'KOJAR',medicine_showdetail.php?sn=A033701100
KERMINE TABLETS 60MG TERFENADINE'Y.C.',medicine_showdetail.php?sn=A033820100
AMBROXOL TABLETS 30,medicine_showdetail.php?sn=A033821100
ISOPERDINE TABLETS 40MG S.L.,medicine_showdetail.php?sn=A033822100
PREDNISOLONE 5MG TABLETS 'Y.Y.',medicine_showdetail.php?sn=A033823100
MOTON TABLETS 500MG MEFENAMIC ACID'YU SHENG',medicine_showdetail.php?sn=A033829100
CIKETIN TABLETS 200,medicine_showdetail.php?sn=A033872100
EXSOL CAPSULES 100M,medicine_showdetail.php?sn=A033883100
U-CAL TABLETS 500MG CALCIUM CARBONATE'S.S.P',medicine_showdetail.php?sn=A033885100
SUSHEU TABLETS 200M,medicine_showdetail.php?sn=A033889100
DECA TABLETS 0.75MG DEXAMETHASONE'KOJAR',medicine_showdetail.php?sn=A033894100
SUWEIDA TABLETS 10M,medicine_showdetail.php?sn=A033896100
POTAN TABLETS 500MG 'H.S.' MEFENAMIC ACID,medicine_showdetail.php?sn=A033901100
LARPAM TABLETS 2MG LORAZEPAM 'S.D.',medicine_showdetail.php?sn=A033929100
LARPAM TABLETS 2MG LORAZEPAM 'S.D.',medicine_showdetail.php?sn=A033929100
CARBIZO TABLETS 10MG CARBIMAZOLE 'YU SHENG',medicine_showdetail.php?sn=A033933100
ABROXOL TABLETS 30M,medicine_showdetail.php?sn=A033939100
EMETROL TABLET 10MG,medicine_showdetail.php?sn=A033947100
N.F.S. F.C.T. 100MG,medicine_showdetail.php?sn=A033950100
CLEDOMYCIN CAPSULES,medicine_showdetail.php?sn=A033960100
IPUFEN F.C. TABLETS 400MG 'CHINTENG'IBUPROFEN,medicine_showdetail.php?sn=A033961100
COTAZYM CAPSULES,medicine_showdetail.php?sn=A033962100
TAIMAC TABLETS 480M,medicine_showdetail.php?sn=A033964100
FLUNARCA TABLET 10M,medicine_showdetail.php?sn=A033970100
COUSEL TABLETS 20MG,medicine_showdetail.php?sn=A034002100
NOYAN TABLETS 375MG NAPROXEN 'WEIDAR',medicine_showdetail.php?sn=A034014100
TICLOPINE S.C. TABLETS 100MG TICLOPIDINE,medicine_showdetail.php?sn=A034016100
CABOTIN TABLETS 375,medicine_showdetail.php?sn=A034017100
DECA TABLETS 0.5MG DEXAMETHASONE 'KOJAR',medicine_showdetail.php?sn=A034018100
CEKODIN CAPSULES 50,medicine_showdetail.php?sn=A034038100
NYSIN TABLETS 100MG,medicine_showdetail.php?sn=A034078100
VESUTON S.C TABLETS 10MG 'CHINTENG'SCOPOLAMINE,medicine_showdetail.php?sn=A034079100
FUROFEN TABLETS 50MG FLURBIPROFEN 'M.S.',medicine_showdetail.php?sn=A034082100
KANTUU TABLETS 10MG,medicine_showdetail.php?sn=A034088100
GLUCOMINE F.C. TABLETS 500MG METFORMIN 'P.L',medicine_showdetail.php?sn=A034096100
SOTOCON TABLETS 20M,medicine_showdetail.php?sn=A034098100
TERNG SO TABLETS C,medicine_showdetail.php?sn=A034100100
